ALTX,CLONO2,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3,CF4,CHCLF2,CCLF3,C2CLF5,NO2,PAN,ACET,CH3CN,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2,ISOP,CHF3
42.5,1.3189999999999999e-12,8.8570000000000005e-13,nan,5.0809999999999994e-18,3.8109999999999997e-16,3.4460000000000001e-12,1.9060000000000002e-12,5.9299999999999997e-14,1.426e-12,1.2519999999999999e-10,6.4999999999999995e-11,4.2879999999999998e-11,1.67e-12,5.92e-13,2.1700000000000002e-09,0.0,0.0,0.0,3.5619999999999999e-13,1.7199999999999999e-12,3.5619999999999999e-13,3.5619999999999999e-13,5.9129999999999991e-13,1.9949999999999999e-12,1.917e-12,nan,nan,nan,nan,nan,1.6500000000000001e-11,3.3399999999999995e-28,1.6189999999999998e-11
45.0,1.61e-13,2.2439999999999998e-13,nan,5.3719999999999992e-19,7.7159999999999993e-17,1.9980000000000002e-12,1.5999999999999998e-12,2.9490000000000002e-14,2.195e-13,3.4799999999999999e-11,6.4999999999999995e-11,3.561e-11,1.5499999999999999e-12,5.1399999999999993e-13,1.15e-09,0.0,0.0,0.0,3.1010000000000001e-13,1.497e-12,3.1010000000000001e-13,3.1010000000000001e-13,5.4189999999999994e-13,1.737e-12,1.6689999999999999e-12,nan,nan,nan,nan,nan,2.0999999999999999e-11,3.3099999999999994e-28,1.613e-11
47.5,1.8889999999999999e-14,5.9919999999999999e-14,nan,5.5480000000000003e-20,1.5849999999999998e-17,1.1809999999999999e-12,1.3749999999999999e-12,1.5069999999999999e-14,3.7060000000000002e-14,9.5329999999999999e-12,6.274999999999999e-11,2.7359999999999997e-11,1.4199999999999998e-12,4.5999999999999996e-13,6.6599999999999997e-10,0.0,0.0,0.0,2.9019999999999997e-13,1.4020000000000001e-12,2.9019999999999997e-13,2.9019999999999997e-13,4.8619999999999999e-13,1.6259999999999999e-12,1.5629999999999999e-12,nan,nan,nan,nan,nan,2.7699999999999999e-11,3.29e-28,1.6039999999999997e-11
50.0,1.855e-15,1.6689999999999999e-14,nan,5.6879999999999996e-21,3.6580000000000001e-18,7.6870000000000005e-13,1.2309999999999999e-12,8.6169999999999994e-15,6.5860000000000001e-15,2.7919999999999998e-12,5.7000000000000003e-11,2.0399999999999999e-11,1.2999999999999999e-12,4.1999999999999998e-13,4.4299999999999997e-10,0.0,0.0,0.0,2.8389999999999998e-13,1.3710000000000001e-12,2.8389999999999998e-13,2.8389999999999998e-13,4.298e-13,1.5899999999999999e-12,1.528e-12,nan,nan,nan,nan,nan,3.5599999999999999e-11,3.2700000000000001e-28,1.593e-11
55.0,7.0319999999999989e-17,2.4899999999999998e-15,nan,2.281e-22,4.1729999999999999e-19,3.8759999999999998e-13,1.0369999999999999e-12,3.5499999999999997e-15,4.8580000000000003e-16,5.8979999999999997e-13,5.2620000000000002e-11,1.509e-11,1.08e-12,3.5299999999999996e-13,3.3899999999999997e-10,0.0,0.0,0.0,2.679e-13,1.2939999999999999e-12,2.679e-13,2.679e-13,3.5690000000000002e-13,1.5000000000000001e-12,1.4419999999999999e-12,nan,nan,nan,nan,nan,4.5899999999999998e-11,3.2200000000000002e-28,1.5750000000000001e-11
60.0,2.8700000000000001e-18,3.6589999999999999e-16,nan,5.0920000000000003e-24,3.4650000000000001e-20,1.8179999999999999e-13,8.645e-13,1.3039999999999999e-15,7.9189999999999992e-18,1.8849999999999998e-13,5.0000000000000002e-11,9.7749999999999998e-12,8.9700000000000001e-13,2.97e-13,2.85e-10,0.0,0.0,0.0,2.6549999999999998e-13,1.282e-12,2.6549999999999998e-13,2.6549999999999998e-13,3.1229999999999999e-13,1.4869999999999998e-12,1.4289999999999999e-12,nan,nan,nan,nan,nan,5.1499999999999997e-11,2.4499999999999997e-28,1.56e-11
65.0,2.1739999999999999e-19,7.9130000000000003e-17,nan,1.699e-25,3.3529999999999997e-21,8.2649999999999994e-14,7.1399999999999989e-13,4.61e-16,1.913e-19,4.9119999999999997e-14,4.6409999999999998e-11,1.7e-12,7.4600000000000005e-13,2.4999999999999999e-13,2.5300000000000001e-10,0.0,0.0,0.0,2.6800000000000002e-13,1.2939999999999999e-12,2.6800000000000002e-13,2.6800000000000002e-13,2.7039999999999999e-13,1.5000000000000001e-12,1.4419999999999999e-12,nan,nan,nan,nan,nan,5.1099999999999997e-11,1.8899999999999999e-28,1.544e-11
70.0,3.0249999999999993e-20,3.1679999999999998e-17,nan,3.1839999999999996e-27,2.3829999999999999e-22,3.4319999999999999e-14,5.7989999999999998e-13,1.4270000000000001e-16,2.6259999999999999e-21,1.021e-14,3.9889999999999997e-11,0.0,6.1999999999999998e-13,2.1099999999999998e-13,2.31e-10,0.0,0.0,0.0,2.702e-13,1.305e-12,2.702e-13,2.702e-13,2.2e-13,1.5129999999999999e-12,1.4539999999999999e-12,nan,nan,nan,nan,nan,4.3199999999999997e-11,1.6500000000000001e-28,1.5209999999999998e-11
75.0,3.2569999999999996e-21,7.0749999999999997e-18,nan,9.5999999999999997e-29,2.0839999999999998e-23,1.3799999999999999e-14,4.6099999999999995e-13,4.3219999999999997e-17,3.6919999999999994e-23,2.2329999999999998e-15,3.4919999999999994e-11,0.0,5.1500000000000003e-13,1.77e-13,2.1499999999999998e-10,0.0,0.0,0.0,2.7249999999999995e-13,1.3159999999999998e-12,2.7249999999999995e-13,2.7249999999999995e-13,1.6400000000000001e-13,1.526e-12,1.4670000000000001e-12,nan,nan,nan,nan,nan,2.8299999999999999e-11,0.0,1.489e-11
80.0,2.634e-23,2.6759999999999998e-19,nan,1.6379999999999998e-30,1.3459999999999999e-24,4.9839999999999997e-15,3.5299999999999996e-13,1.1309999999999999e-17,5.1249999999999993e-25,1.1220000000000001e-15,3.0809999999999995e-11,0.0,9.999999999999999e-14,1.0000000000000001e-15,2.02e-10,0.0,0.0,0.0,2.7249999999999995e-13,1.3159999999999998e-12,2.7249999999999995e-13,2.7249999999999995e-13,1.2329999999999999e-13,1.526e-12,1.4670000000000001e-12,nan,nan,nan,nan,nan,1.3299999999999999e-11,0.0,1.4559999999999999e-11
