H2O,CO2,O3,CO,N2O,CH4,O2,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3,XS
4.241E+023,4.244E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,3.358E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,9.297E+022,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023,4.245E+023
4.136E+023,4.138E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,3.274E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,9.065E+022,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023,4.139E+023
4.052E+023,4.054E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,3.207E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,8.88E+022,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023,4.055E+023
3.947E+023,3.948E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.124E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,8.648E+022,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023,3.949E+023
3.884E+023,3.884E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.074E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,8.51E+022,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023,3.886E+023
3.778E+023,3.779E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,2.99E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,8.278E+022,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023,3.78E+023
3.694E+023,3.694E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,2.923E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,8.093E+022,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023,3.695E+023
3.609E+023,3.609E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,2.856E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,7.907E+022,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023,3.611E+023
3.525E+023,3.525E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,2.789E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,7.722E+022,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023,3.526E+023
3.44E+023,3.44E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,2.722E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,7.537E+022,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023,3.441E+023
3.335E+023,3.334E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,2.638E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,7.305E+022,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023,3.335E+023
3.271E+023,3.271E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,2.588E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,7.166E+022,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023,3.272E+023
3.166E+023,3.165E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,2.504E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,6.934E+022,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023,3.166E+023
