ALT,P1,P2,P3,P4,P5,P6,T1,T2,T3,T4,T5,T6,H2O_1,H2O_2,H2O_3,H2O_4,H2O_5,H2O_6,CO2_1,CO2_2,CO2_3,CO2_4,CO2_5,CO2_6,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,N2O_1,N2O_2,N2O_3,N2O_4,N2O_5,N2O_6,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CH4_1,CH4_2,CH4_3,CH4_4,CH4_5,CH4_6,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,BRD_1,BRD_2,BRD_3,BRD_4,BRD_5,BRD_6,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3
10.0,286.0,281.0,256.8,267.7,241.8,265.0,237.0,235.3,219.7,225.2,217.2,223.3,0.0001912,0.0002472,2.96e-05,4.24e-05,2e-05,6.996e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,5.595e-08,1.304e-07,2.37e-07,1.89e-07,3e-07,1.313e-07,3.179e-07,3.096e-07,3.096e-07,2.651e-07,3.096e-07,3.179e-07,9.962e-08,9.962e-08,9.962e-08,9.962e-08,9.962e-08,9.962e-08,1.685e-06,1.579e-06,1.579e-06,1.579e-06,1.579e-06,1.685e-06,0.209,0.209,0.209,0.209,0.209,0.209,8.747e+12,8.656e+12,8.472e+12,8.616e+12,8.069e+12,8.602e+12,3e-10,6.08e-11,2.38e-11,2.03e-11,1.74e-10,4.68e-14,6.57e-13,5.68e-11,1.7e-12,3e-12,1.21e-14,5.18e-10,3.63e-11,4.34e-12,0.781,1.6e-10,5.88e-10,5.79e-11,2.27e-11,1.58e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
11.0,247.0,243.0,219.9,230.0,206.7,227.0,230.1,228.8,219.2,225.2,217.2,216.8,7.306e-05,9.556e-05,1e-05,1.33e-05,1e-05,3.613e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,6.613e-08,1.793e-07,3.624e-07,3.05e-07,3.5e-07,2.149e-07,3.14e-07,2.989e-07,2.989e-07,2.6e-07,2.989e-07,3.14e-07,8.964e-08,8.964e-08,8.964e-08,8.964e-08,8.964e-08,8.964e-08,1.675e-06,1.542e-06,1.542e-06,1.542e-06,1.542e-06,1.675e-06,0.209,0.209,0.209,0.209,0.209,0.209,7.78e+12,7.698e+12,7.271e+12,7.402e+12,6.898e+12,7.589e+12,3e-10,5.79e-11,2.62e-11,1.09e-11,2.02e-10,4.8e-14,1.2e-12,4.59e-11,1.7e-12,3e-12,1.87e-14,5.09e-10,3.43e-11,4.65e-12,0.781,1.6e-10,5.79e-10,3.43e-11,2.08e-11,1.3e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
12.0,213.0,209.0,188.2,197.7,176.6,194.0,223.6,222.3,218.7,225.2,217.2,216.7,2.905e-05,2.944e-05,6e-06,6e-06,6e-06,1.906e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,7.815e-08,2.23e-07,5.232e-07,4.1e-07,4e-07,3.095e-07,3.095e-07,2.936e-07,2.936e-07,2.549e-07,2.936e-07,3.095e-07,7.814e-08,7.814e-08,7.814e-08,7.814e-08,7.814e-08,7.814e-08,1.662e-06,1.508e-06,1.508e-06,1.506e-06,1.506e-06,1.662e-06,0.209,0.209,0.209,0.209,0.209,0.209,6.904e+12,6.814e+12,6.237e+12,6.363e+12,5.893e+12,6.489e+12,3e-10,5.6e-11,3.15e-11,6.3e-12,2.41e-10,4.94e-14,1.96e-12,4.36e-11,1.7e-12,3e-12,3.18e-14,4.98e-10,3.39e-11,5.01e-12,0.781,1.6e-10,5.66e-10,1.95e-11,1.76e-11,9.86e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
13.0,182.0,179.0,161.1,170.0,151.0,165.8,217.0,215.8,218.2,225.2,217.2,216.7,9.9e-06,8e-06,5e-06,4.45e-06,4.45e-06,1.085e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,9.289e-08,3e-07,7.036e-07,5e-07,6.5e-07,3.846e-07,3.048e-07,2.86e-07,2.86e-07,2.494e-07,2.86e-07,3.048e-07,6.374e-08,6.374e-08,6.374e-08,6.374e-08,6.374e-08,6.374e-08,1.645e-06,1.479e-06,1.479e-06,1.471e-06,1.471e-06,1.645e-06,0.209,0.209,0.209,0.209,0.209,0.209,6.079e+12,6.012e+12,5.351e+12,5.471e+12,5.039e+12,5.546e+12,2.99e-10,5.59e-11,4.45e-11,3.12e-12,2.76e-10,5.19e-14,3.12e-12,6.51e-11,1.7e-12,3e-12,5.61e-14,4.82e-10,3.5e-11,5.22e-12,0.781,1.59e-10,5.48e-10,1.08e-11,1.23e-11,7.22e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
14.0,156.0,153.0,137.8,146.0,129.1,141.7,210.3,215.7,217.7,225.2,217.2,216.7,6.22e-06,5e-06,4.8e-06,4e-06,4.5e-06,5.927e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,1.05e-07,4.4e-07,8e-07,6e-07,9e-07,5.03e-07,2.999e-07,2.8e-07,2.8e-07,2.433e-07,2.8e-07,2.999e-07,5.025e-08,5.025e-08,5.025e-08,5.025e-08,5.025e-08,5.025e-08,1.626e-06,1.451e-06,1.451e-06,1.434e-06,1.434e-06,1.626e-06,0.209,0.209,0.209,0.209,0.209,0.209,5.377e+12,5.141e+12,4.588e+12,4.699e+12,4.308e+12,4.739e+12,2.95e-10,5.64e-11,7.48e-11,1.11e-12,3.33e-10,5.65e-14,4.62e-12,1.01e-10,1.7e-12,3e-12,9.99e-14,4.6e-10,3.62e-11,5.6e-12,0.781,1.57e-10,5.28e-10,6.59e-12,7.32e-12,4.96e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
15.0,132.0,130.0,117.8,126.0,110.3,121.1,203.7,215.7,217.2,225.2,217.2,216.7,4e-06,3.4e-06,4.7e-06,4e-06,4.55e-06,5e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,1.256e-07,5e-07,9e-07,7e-07,1.2e-06,6.505e-07,2.944e-07,2.724e-07,2.724e-07,2.355e-07,2.724e-07,2.944e-07,3.941e-08,3.941e-08,3.941e-08,3.941e-08,3.941e-08,3.941e-08,1.605e-06,1.422e-06,1.422e-06,1.389e-06,1.389e-06,1.605e-06,0.209,0.209,0.209,0.209,0.209,0.209,4.697e+12,4.368e+12,3.931e+12,4.055e+12,3.681e+12,4.05e+12,2.83e-10,5.75e-11,1.71e-10,4.47e-13,4.52e-10,6.75e-14,7.09e-12,1.63e-10,1.7e-12,3e-12,1.78e-13,4.26e-10,3.62e-11,6.86e-12,0.781,1.55e-10,5.03e-10,4.2e-12,4.52e-12,3.35e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
16.0,111.0,111.0,100.7,108.0,94.31,103.5,197.0,215.7,216.7,225.2,216.6,216.7,3e-06,3.3e-06,4.6e-06,4e-06,4.6e-06,3.95e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,1.444e-07,6e-07,1.1e-06,8.5e-07,1.5e-06,8.701e-07,2.877e-07,2.611e-07,2.611e-07,2.282e-07,2.611e-07,2.877e-07,3.069e-08,3.069e-08,3.069e-08,3.069e-08,3.069e-08,3.069e-08,1.582e-06,1.39e-06,1.39e-06,1.342e-06,1.342e-06,1.582e-06,0.209,0.209,0.209,0.209,0.209,0.209,4.084e+12,3.73e+12,3.368e+12,3.476e+12,3.156e+12,3.462e+12,2.68e-10,5.75e-11,3.19e-10,2.11e-13,7.37e-10,8.25e-14,1.05e-11,2.37e-10,1.7e-12,3e-12,3.16e-13,3.88e-10,3.58e-11,8.77e-12,0.781,1.52e-10,4.77e-10,2.94e-12,2.59e-12,2.14e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
17.0,93.7,95.0,86.1,92.8,80.58,88.5,194.8,215.7,216.2,225.2,216.0,216.7,2.9e-06,3.2e-06,4.5e-06,4.05e-06,4.65e-06,3.85e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,2.5e-07,7e-07,1.4e-06,1e-06,1.9e-06,1.187e-06,2.783e-07,2.421e-07,2.421e-07,2.179e-07,2.421e-07,2.783e-07,2.489e-08,2.489e-08,2.489e-08,2.489e-08,2.489e-08,2.489e-08,1.553e-06,1.356e-06,1.356e-06,1.29e-06,1.29e-06,1.553e-06,0.209,0.209,0.209,0.209,0.209,0.209,3.486e+12,3.192e+12,2.886e+12,2.987e+12,2.704e+12,2.96e+12,2.52e-10,5.37e-11,5.19e-10,1.1e-13,1.31e-09,1.04e-13,1.69e-11,3.13e-10,1.7e-12,3e-12,5.65e-13,3.48e-10,3.5e-11,1.2e-11,0.781,1.49e-10,4.49e-10,2.3e-12,1.55e-12,1.49e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
18.0,78.9,81.2,73.6,79.8,68.82,75.65,198.8,216.8,215.7,225.2,215.4,216.7,2.75e-06,3.15e-06,4.5e-06,4.3e-06,4.7e-06,3.825e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,5e-07,1e-06,1.8e-06,1.3e-06,2.45e-06,1.587e-06,2.671e-07,2.174e-07,2.174e-07,2.035e-07,2.174e-07,2.671e-07,1.966e-08,1.966e-08,1.966e-08,1.966e-08,1.966e-08,1.966e-08,1.521e-06,1.323e-06,1.323e-06,1.23e-06,1.23e-06,1.521e-06,0.209,0.209,0.209,0.209,0.209,0.209,2.877e+12,2.715e+12,2.473e+12,2.568e+12,2.316e+12,2.53e+12,2.4e-10,4.78e-11,7.71e-10,6.7e-14,2.11e-09,1.3e-13,2.57e-11,3.85e-10,1.7e-12,3e-12,1.04e-12,3.09e-10,3.42e-11,1.63e-11,0.781,1.45e-10,4.21e-10,2.24e-12,8.63e-13,1.05e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
19.0,66.6,69.5,62.8,68.6,58.75,64.67,202.7,217.9,215.2,225.2,214.8,216.7,2.6e-06,3.2e-06,4.5e-06,4.5e-06,4.75e-06,3.85e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,9.5e-07,1.5e-06,2.3e-06,1.7e-06,3.1e-06,2.03e-06,2.527e-07,1.843e-07,1.843e-07,1.817e-07,1.843e-07,2.527e-07,1.549e-08,1.549e-08,1.549e-08,1.549e-08,1.549e-08,1.549e-08,1.48e-06,1.281e-06,1.281e-06,1.157e-06,1.161e-06,1.48e-06,0.209,0.209,0.209,0.209,0.209,0.209,2.381e+12,2.312e+12,2.115e+12,2.208e+12,1.982e+12,2.163e+12,2.44e-10,3.97e-11,1.06e-09,3.97e-14,3.17e-09,1.64e-13,4.02e-11,4.42e-10,1.7e-12,3e-12,2.04e-12,2.74e-10,3.39e-11,2.26e-11,0.781,1.41e-10,3.95e-10,2.68e-12,5.3e-13,7.96e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
